fecha,BM
1/1/2007,7449216
2/1/2007,7514710
3/1/2007,7746717
4/1/2007,8073064
5/1/2007,8281724
6/1/2007,8738273
7/1/2007,9260222
8/1/2007,9971906
9/1/2007,10449871
10/1/2007,10649343
11/1/2007,11323177
12/1/2007,13117459
1/1/2008,12516286
2/1/2008,12643590
3/1/2008,12680025
4/1/2008,13383022
5/1/2008,14063595
6/1/2008,14521846
7/1/2008,15009407
8/1/2008,15397189
9/1/2008,15514641
10/1/2008,14967642
11/1/2008,14762394
12/1/2008,15807424
1/1/2009,14648961
2/1/2009,14188881
3/1/2009,13713709
4/1/2009,13695525
5/1/2009,13854831
6/1/2009,14029722
7/1/2009,14112625
8/1/2009,14185762
9/1/2009,14321078
10/1/2009,14950893
11/1/2009,15156235
12/1/2009,17079537
1/1/2010,16393511
2/1/2010,16132999
3/1/2010,16082228
4/1/2010,16364132
5/1/2010,16657145
6/1/2010,16848031
7/1/2010,17128772
8/1/2010,17032519
9/1/2010,17150346
10/1/2010,17589634
11/1/2010,18243160
12/1/2010,22484784
1/1/2011,21237392
2/1/2011,20926813
3/1/2011,20716929
4/1/2011,21172659
5/1/2011,21479376
6/1/2011,22239756
7/1/2011,22681374
8/1/2011,22914441
9/1/2011,23192246
10/1/2011,23424677
11/1/2011,23472054
12/1/2011,25813629
1/1/2012,24903079
2/1/2012,24625367
3/1/2012,24540511
4/1/2012,24721195
5/1/2012,24672153
6/1/2012,25236766
7/1/2012,25355067
8/1/2012,25426304
9/1/2012,25897635
10/1/2012,26314863
11/1/2012,26514102
12/1/2012,29304721
1/1/2013,28012282
2/1/2013,27306081
3/1/2013,27228804
4/1/2013,27317811
5/1/2013,27559288
6/1/2013,28006657
7/1/2013,28120126
8/1/2013,28193830
9/1/2013,28401662
10/1/2013,28843926
11/1/2013,29206523
12/1/2013,32716399
1/1/2014,31188644
2/1/2014,30835216
3/1/2014,30229382
4/1/2014,30314577
5/1/2014,30550862
6/1/2014,31016998
7/1/2014,31008182
8/1/2014,31293200
9/1/2014,31388003
10/1/2014,31935587
11/1/2014,32282779
12/1/2014,36670596
1/1/2015,34911156
2/1/2015,33839186
3/1/2015,33144829
4/1/2015,32939509
5/1/2015,33434674
6/1/2015,33398303
7/1/2015,33224317
8/1/2015,32988558
9/1/2015,32688029
10/1/2015,33217098
11/1/2015,33019796
12/1/2015,37180572
1/1/2016,35577113
2/1/2016,34418166
3/1/2016,33566098
4/1/2016,33817623
5/1/2016,33416417
6/1/2016,33582812
7/1/2016,33834369
8/1/2016,33461775
9/1/2016,33518425
10/1/2016,33970005
11/1/2016,33844037
12/1/2016,37020092
1/1/2017,35403391
2/1/2017,35129381
3/1/2017,34065441
4/1/2017,34439533
5/1/2017,34087997
6/1/2017,34652794
7/1/2017,34823179
8/1/2017,34665365
9/1/2017,35234079
10/1/2017,35780889
11/1/2017,36246258
12/1/2017,40370789
